area_code,area_code_3,category,geo_level,area_name,country,region,ua,city
K04000001,K04,England & Wales,0,England and Wales,NA,NA,NA,NA
E92000001,E92,England,1,England,England,NA,NA,NA
E12000001,E12,Region,2,North East,England,North East,NA,NA
E06000047,E06,Unitary Authority,3,County Durham,England,North East,County Durham,NA
E06000005,E06,Unitary Authority,3,Darlington,England,North East,Darlington,NA
E06000001,E06,Unitary Authority,3,Hartlepool,England,North East,Hartlepool,NA
E06000002,E06,Unitary Authority,3,Middlesbrough,England,North East,Middlesbrough,NA
E06000057,E06,Unitary Authority,3,Northumberland,England,North East,Northumberland,NA
E06000003,E06,Unitary Authority,3,Redcar and Cleveland,England,North East,Redcar and Cleveland,NA
E06000004,E06,Unitary Authority,3,Stockton-on-Tees,England,North East,Stockton-on-Tees,NA
E11000007,E11,Metropolitan County,3,Tyne and Wear (Met County),England,North East,Tyne and Wear (Met County),NA
E08000037,E08,Metropolitan District,4,Gateshead,England,North East,Tyne and Wear (Met County),Gateshead
E08000021,E08,Metropolitan District,4,Newcastle upon Tyne,England,North East,Tyne and Wear (Met County),Newcastle upon Tyne
E08000022,E08,Metropolitan District,4,North Tyneside,England,North East,Tyne and Wear (Met County),North Tyneside
E08000023,E08,Metropolitan District,4,South Tyneside,England,North East,Tyne and Wear (Met County),South Tyneside
E08000024,E08,Metropolitan District,4,Sunderland,England,North East,Tyne and Wear (Met County),Sunderland
E12000002,E12,Region,2,North West,England,North West,NA,NA
E06000008,E06,Unitary Authority,3,Blackburn with Darwen,England,North West,Blackburn with Darwen,NA
E06000009,E06,Unitary Authority,3,Blackpool,England,North West,Blackpool,NA
E06000049,E06,Unitary Authority,3,Cheshire East,England,North West,Cheshire East,NA
E06000050,E06,Unitary Authority,3,Cheshire West and Chester,England,North West,Cheshire West and Chester,NA
E06000006,E06,Unitary Authority,3,Halton,England,North West,Halton,NA
E06000007,E06,Unitary Authority,3,Warrington,England,North West,Warrington,NA
E10000006,E10,County,3,Cumbria,England,North West,Cumbria,NA
E07000026,E07,Non-Metropolitan District,4,Allerdale,England,North West,Cumbria,Allerdale
E07000027,E07,Non-Metropolitan District,4,Barrow-in-Furness,England,North West,Cumbria,Barrow-in-Furness
E07000028,E07,Non-Metropolitan District,4,Carlisle,England,North West,Cumbria,Carlisle
E07000029,E07,Non-Metropolitan District,4,Copeland,England,North West,Cumbria,Copeland
E07000030,E07,Non-Metropolitan District,4,Eden,England,North West,Cumbria,Eden
E07000031,E07,Non-Metropolitan District,4,South Lakeland,England,North West,Cumbria,South Lakeland
E11000001,E11,Metropolitan County,3,Greater Manchester (Met County),England,North West,Greater Manchester (Met County),NA
E08000001,E08,Metropolitan District,4,Bolton,England,North West,Greater Manchester (Met County),Bolton
E08000002,E08,Metropolitan District,4,Bury,England,North West,Greater Manchester (Met County),Bury
E08000003,E08,Metropolitan District,4,Manchester,England,North West,Greater Manchester (Met County),Manchester
E08000004,E08,Metropolitan District,4,Oldham,England,North West,Greater Manchester (Met County),Oldham
E08000005,E08,Metropolitan District,4,Rochdale,England,North West,Greater Manchester (Met County),Rochdale
E08000006,E08,Metropolitan District,4,Salford,England,North West,Greater Manchester (Met County),Salford
E08000007,E08,Metropolitan District,4,Stockport,England,North West,Greater Manchester (Met County),Stockport
E08000008,E08,Metropolitan District,4,Tameside,England,North West,Greater Manchester (Met County),Tameside
E08000009,E08,Metropolitan District,4,Trafford,England,North West,Greater Manchester (Met County),Trafford
E08000010,E08,Metropolitan District,4,Wigan,England,North West,Greater Manchester (Met County),Wigan
E10000017,E10,County,3,Lancashire,England,North West,Lancashire,NA
E07000117,E07,Non-Metropolitan District,4,Burnley,England,North West,Lancashire,Burnley
E07000118,E07,Non-Metropolitan District,4,Chorley,England,North West,Lancashire,Chorley
E07000119,E07,Non-Metropolitan District,4,Fylde,England,North West,Lancashire,Fylde
E07000120,E07,Non-Metropolitan District,4,Hyndburn,England,North West,Lancashire,Hyndburn
E07000121,E07,Non-Metropolitan District,4,Lancaster,England,North West,Lancashire,Lancaster
E07000122,E07,Non-Metropolitan District,4,Pendle,England,North West,Lancashire,Pendle
E07000123,E07,Non-Metropolitan District,4,Preston,England,North West,Lancashire,Preston
E07000124,E07,Non-Metropolitan District,4,Ribble Valley,England,North West,Lancashire,Ribble Valley
E07000125,E07,Non-Metropolitan District,4,Rossendale,England,North West,Lancashire,Rossendale
E07000126,E07,Non-Metropolitan District,4,South Ribble,England,North West,Lancashire,South Ribble
E07000127,E07,Non-Metropolitan District,4,West Lancashire,England,North West,Lancashire,West Lancashire
E07000128,E07,Non-Metropolitan District,4,Wyre,England,North West,Lancashire,Wyre
E11000002,E11,Metropolitan County,3,Merseyside (Met County),England,North West,Merseyside (Met County),NA
E08000011,E08,Metropolitan District,4,Knowsley,England,North West,Merseyside (Met County),Knowsley
E08000012,E08,Metropolitan District,4,Liverpool,England,North West,Merseyside (Met County),Liverpool
E08000014,E08,Metropolitan District,4,Sefton,England,North West,Merseyside (Met County),Sefton
E08000013,E08,Metropolitan District,4,St. Helens,England,North West,Merseyside (Met County),St. Helens
E08000015,E08,Metropolitan District,4,Wirral,England,North West,Merseyside (Met County),Wirral
E12000003,E12,Region,2,Yorkshire and The Humber,England,Yorkshire and The Humber,NA,NA
E06000011,E06,Unitary Authority,3,East Riding of Yorkshire,England,Yorkshire and The Humber,East Riding of Yorkshire,NA
